زبان‌درقفا	zabAndarqafA
اسکندری	'eskandari
تزویج	tazvij
فشرده	feSorde
سومری	sumeri
اعتیاد	'e'tiyAd
خاطرخواهی	xAterxAhi
کاظمینی	kAzemini
ایلی	'ili
دوسره	dosare
کم‌کم	kamkam
سبکپا	sabokpA
نامحرم	nAmahram
ریکاوری	rikAveri
اعتصاب‌کننده	'e'tesAbkonande
توطئه‌آمیز	towte'e'Amiz
خواهان	xAhAn
مصطلح	mostalah
کم‌‌حوصله	kamhowsele
دیوی	divi
آهنگر	'Ahangar
خوش‌آب‌وهوا	xoSAbohavA
توصیف	towsif
اندام	'andAm
عشقه	'aSaqqe
ما	mA
چرخ‌دنده	Carxdande
دلالت	delAlat
آشغالدانی	'ASqAldAni
جریانی	jarayAni
پنج‌تایی	panjtAyi
کرال	kerAl
ربوبی	robubi
احتشام	'ehteSAm
ده‌ملا	dehmollA
یونیتا	yunitA
لته	late
چشم‌پوشی	CeSmpuSi
فراغت	farAqat
پاسخ	pAsox
بی‌وفا	bivafA
همه‌چیزخوار	hameCizxAr
ریه	riye
تفاهم‌نامه	tafAhomnAme
حاکمه	hAkeme
تداخل‌سنج	tadAxolsanj
مستطیل‌شکل	mostatilSekl
تصدیق	tasdiq
گربه‌رو	gorberow
کامروز	kAmruz
مخاطب	moxAtab
سریال	seriyAl
هم‌درس	hamdars
تولب	tulab
بی‌مقدار	bimeqdAr
بارآور	bArAvar
سلب‌کننده	salbkonande
تذرو	tazarv
فرح‌‌آور	farahAvar
حجم‌سازی	hajmsAzi
جنگدیده	jangdide
اشتیاق	'eStiyAq
زمان‌سنج	zamAnsanj
مقنعه	maqna'e
گل‌دار	goldAr
قدرتمند	qodratmand
برتافته	bartAfte
مددجو	madadju
بزرگ	bozorg
لوچه	lowCe
ندیده	nadide
واریز	vAriz
تک	tak
لئوناردو	le'onArdo
دست‌نشانده	dastneSAnde
اعشاری	'a'SAri
قبیله	qabile
بالابان	bAlAbAn
تفضیل	tafzil
تقوایی	taqvAyi
تصویب‌نامه	tasvibnAme
گنجشک	gonjeSk
کاشی	kASi
اشنان	'oSnAn
فره	farre
پروتیین	poroteyin
خاموشی	xAmuSi
بدرود	bedrud
شناخت	SenAxt
غدد	qodad
اعتناء	'e'tenA
لذات	lezzAt
وارد‌شونده	vAredSavande
کونگ‌‌فو	kongfo
پوتسدام	putsdAm
عقد‌‌الفرید	'eqdolfarid
نایب‌قهرمان	nAyebqahremAn
نطفه	notfe
بنا‌سازی	banAsAzi
هراس‌آور	harAsAvar
مجانین	majAnin
خاکساری	xAksAri
ملیت	melliyyat
مذهب	mazhab
سمت‌گیری	samtgiri
وقف	vaqf
فنائیان	fanA'iyAn
همه‌کاره	hamekAre
آلبرتینی	'Albertini
بلغارستان	bolqArestAn
سفر	safar
پاویون	pAviyon
میوه	mive
چوبی	Cubi
خدمت‌گذاری	xedmatgozAri
گرمازا	garmAzA
اورال	'orAl
خواهرزاده	xAharzAde
کوپر	koper
ساخت‌وساز	sAxtosAz
خدامی	xoddAmi
اسلام‌گرایی	'eslAmgerAyi
بل	bel
ایلخانیان	'ilxAniyAn
وافر	vAfer
زورمندی	zurmandi
ماورا	mAvarA
قدح	qadah
جرم‌خیز	jormxiz
میشا	miSA
شهرام	SahrAm
حسدورزی	hasadvarzi
آری	'Ari
شب‌‌کوری	Sabkuri
لولو	lulu
امدادرسان	'emdAdresAn
شکر‌آباد	SokrAbAd
ابوبکر	'abubakr
لیبریا	liberiyA
عمری	'omri
تشنج	taSannoj
تیمور	teymur
روماریو	romAriyo
پرخاش	parxAS
سلیطه	salite
والتر	vAlter
علت	'ellat
درضمن	darzemn
پارلمان	pArlemAn
تصاحب	tasAhob
وانگهی	vAngahi
عیب‌‌جویی	'eybjuyi
ناسزاگو	nAsezAgu
اردیبهشت‌ماه	'ordibeheStmAh
به‌حقیقت	behaqiqat
تحجرگرا	tahajjorgerA
آرپی‌جی	'Arpiji
معید	mo'id
قابل‌‌حل	qAbelehall
تیره	tire
فقرات	faqarAt
سینکروترون	sinkrotron
کنفت	keneft
مستعدی	mosta'eddi
بنیادی	bonyAdi
میخکش	mixkeS
مقامی	maqAmi
فانی	fAni
اسپارت	'espArt
نرخ	nerx
موسوی‌نژاد	musavineZAd
مدت‌دار	moddatdAr
با‌آن‌که	bA'Anke
کانسار	kAnsAr
گاه	gAh
صفی‌‌زاده	safizAde
علمستان	'alamestAn
یاو	yAv
لوتی	luti
اعلام‌نشده	'e'lAmnaSode
پژمرد	paZmord
وابسته	vAbaste
لوبیا	lubiyA
شهرستان	SahrestAn
بر‌سر	barsare
این‌جور	'injur
مداین	madAyen
موسیقی‌دان	musiqidAn
نادری	nAderi
ورهرام	varahrAm
مترسک	matarsak
قانون‌‌دان	qAnundAn
کوه‌‌بابا	kuhbAbA
امین‌الضرب	'aminozzarb
زباله‌دان	zobAledAn
شتاب	SetAb
نیم‌فصل	nimfasl
برون	borun
شلمچه	SalamCe
سازش‌ناپذیر	sAzeSnApazir
محض	mahz
زائیده	zA'ide
تحقیق‌شده	tahqiqSode
بقاء	baqA'
اخرا	'oxrA
نیشخند	niSxand
تخته‌سنگ	taxtesang
بین‌شهری	beyneSahri
تعزیراتی	ta'zirAti
خیانت‌آمیز	xiyAnatAmiz
هم‌سطح	hamsath
کثرت	kesrat
لومپن	lompan
کودتاچی	kudetACi
فلات	falAt
کمربسته	kamarbaste
لبه‌دار	labedAr
کشاورزی	keSAvarzi
باصری	bAseri
غدا	qadA
سهامدار	sahAmdAr
بخشوده	baxSude
کامل‌‌کننده	kAmelkonande
میخانه	meyxAne
گلف	golf
پرآوازه	por'AvAze
علمیه	'elmiyye
خوش‌نشین	xoSneSin
سایه‌دار	sAyedAr
درخشیده	deraxSide
شاهمیری	SAhmiri
دواب	davAb
علفخوار	'alafxAr
تخت	taxt
گرامافون	gerAmAfon
همپا	hampA
توت	tut
ذکی	zaki
فوق‌‌دیپلم	fowqediplom
مصرف‌کننده	masrafkonande
عقیده	'aqide
برلن	berlan
شرق	Sarq
کم‌حواس	kamhavAs
طعم	ta'm
برون‌سو	burunsu
گشته	gaSte
شهر	Sahr
تضییق	tazyiq
بخل	boxl
پیش‌گفته	piSgofte
تک‌سوار	taksavAr
زاویه‌دار	zAviyedAr
مابعدالطبیعه	mAba'dottabi'e
لاقید	lAqeyd
پایپز	pAyiz
قاورد	qAvard
سوس	sus
پراکنده	parAkande
استمهال	'estemhAl
ماهرالنقش	mAheronnaqS
امریکایی	'emrikAyi
الهامبخش	'elhAmbaxS
نیمساز	nimsAz
به	be
راحتی	rAhati
بی‌کارگی	bikAregi
ملاحت	malAhat
بخاری	boxAri
بچه‌ننه	baCCenane
بالیستیک	bAlestik
فرهنگ	farhang
آر	'Ar
اگر	'agar
اندی	'andi
بمب	bomb
مدفون	madfun
پتانسیل	potAnsiyel
نیاسر	niyAsar
فرهودی	farhudi
مکبی	mokebbi
والا	va'ellA
قوچ	quC
قلتشن	qotaSan
خاقان	xAqAn
پریچهره	pariCehre
طوس	tus
مقاتل	maqAtel
آب‌بر	'Abbor
مسابقه	mosAbeqe
دنگال	dangAl
گلاب	golAb
ابن	'ebn
سربازخانه	sarbAzxAne
پروستات	porostAt
ترغیب	tarqib
مشتاقانه	moStAqAne
فرومد	furumad
اشاره‌شده	'eSAreSode
یائسه	yA'ese
هجر	hejr
شق	Saqq
بی‌اعتماد	bi'e'temAdi
هیجان	hayajAn
زیاد	ziyAd
کوره‌‌اردشیر	kure'ardeSir
باز‌شناخته	bAzSenAxte
دبیرستان	dabirestAn
چای‌سازی	CAysAzi
کیانمهر	kiyAnmehr
کتابخانه‌‌ای	ketAbxAne'i
خونسرد	xunsard
گینه	gine
ارتجاع	'ertejA'
بدمست	badmast
از‌خود‌گذشتگی	'azxodgozaStegi
تسلیت	tasliyat
سوربن	surbon
مونسی	munesi
قلوب	qolub
محمد‌آباد	mohammadAbAd
عبا	'abA
سست‌بنیاد	sostbonyAd
تقبل	taqabbol
معرفه	ma'refe
مردود	mardud
فریدی	faridi
مهوش	mahvaS
پرکرده	porkarde
ابوعلی	'abu'ali
آجان	'AjAn
عظیمی	'azimi
امانات	'amAnAt
موازات	movAzAt
مسقطی	masqati
دستخط	dastxatt
دیم	deym
کشباف	keSbAf
پروژسترون	peroZesteron
کمال‌‌زاده	kamAlzAde
نفس	nafas
تزئیناتی	taz'inAti
آشوب‌طلبانه	'ASubtalabAne
وضعیت	vaz'iyyat
اعتدال	'e'tedAl
نخودچی	noxodCi
فایقه	fAyeqe
فرورو	foruro
مزدکی	mazdaki
مشترک	moStarek
راقم	rAqem
خرت‌و‌پرت	xertopert
یشمی	yaSmi
ململ	malmal
کاسترو	kAstero
فلدسپات	feldespAt
کنگ	kang
مترقی	moteraqqi
شایسته‌‌سالاری	SAyestesAlAri
زعفران	za'ferAn
گلاویز	galAviz
افراخت	'afrAxt
استخر	'estaxr
آخرت	'Axerat
سختگیری	saxtgiri
سنگ‌پشت	sangpoSt
فهرست‌‌شده	fehrestSode
مزاحم	mozAhem
پیکاپ	pikAp
رشوه‌خوار	reSvexAr
حسرت‌بار	hasratbAr
یکپارچگی	yekpArCegi
تجاوز	tajAvoz
حیایی	hayAyi
حکمروا	hokmravA
کرم‌‌پور	karampur
مرور	morur
بالضروره	bezzarure
لکه‌گذاری	lakkegozAri
فسنجان	fesenjAn
قاب	qAb
بحرالعلوم	bahrol'olum
بی‌هنر	bihonar
جناغی	jenAqi
دندان‌گرد	dandAngerd
متالوژی	metAloZi
انضمام	'enzemAm
واجگو‌نه	vAjgune
شرمگاهی	SarmgAhi
برگه‌ای	barge'i
ایمپالا	'impAlA
گیوه‌دوزی	giveduzi
بزرگراه	bozorgrAh
ناحیه	nAhiyye
چسبی	Casbi
طلاق	talAq
برافروز	barafruz
مرضا	marzA
کامبوزیا	kAmbowziyA
حبسیه	habsiyye
پیش‌مرگ	piSmarg
سرداور	sardAvar
نسبی	nasabi
اخلاق‌گرا	'axlAqgerA
نقل‌مکان	naqlemakAn
بلکه	balke
کیابیا	kiyAbiyA
آرژانتین	'ArZAntin
فریب‌‌دهنده	faribdahande
کاربری	kArbari
نوکیا	nokiyA
زردینه	zardine
بیز	biz
قصی	qasiyy
قضیه	qaziyye
پخمه	paxme
اویغوری	'owyquri
کهیر	kahir
کیلوهرتز	kiluhertz
کتابخانه	ketAbxAne
علوفه‌ای	'olufe'i
اعوجاج	'e'vejAj
رسیده	reside
مارماهی	mArmAhi
تعمد	ta'ammod
مختلف	moxtalef
رحمدل	rahmdel
برآمده	barAmade
ناکام	nAkAm
اکراه	'ekrAh
وجودی	vojudi
ترکه	tarke
ناگهان	nAgahAn
گنجانیده	gonjAnide
مکی	makki
قدیمی‏	qadimi
مشرق‌زمین	maSreqzamin
کم‌رنگ	kamrang
حقیر	haqir
تذکره‌نویس	tazkarenevis
کادیلاک	kAdilAk
ماهو	mAhu
امیدواری	'omidvAri
راهپیمایی	rAhpeymAyi
چابک‌سوار	CAboksavAr
ضایعاتی	zAye'Ati
تعدی	ta'addi
غیرکشاورزی	qeyrekeSAvarzi
رقاصک	raqqAsak
مخاطی	moxAti
آبار	'AbAr
مزور	mozavver
غلطکی	qaltaki
تخریب‌گر	taxribgar
بابی	bAbi
مرسین	marsin
مارکس	mArks
عدالت‌‌طلبانه	'edAlattalabAne
بدجوری	badjuri
منصوب	mansub
والاهمت	vAlAhemmat
پادار	pAdAr
محامد	mahAmed
شهید	Sahid
است	'ast
تاریخدار	tArixdAr
ترشروئی	torSru'i
قرنیه	qarniye
کری	kari
گلنوش	golnuS
وارث	vAres
داغان	dAqAn
سهره‌ها	sehrehA
الکتریک	'elekterik
شنگرف	Sangarf
رامین	rAmin
چشمه‌دوزی	CeSmeduzi
آبستان	'AbestAn
زمستانی	zemestAni
نورکافت	nurkAft
بلبله	bolbole
چاکر	CAker
سپرد	sepord
گردگیری	gardgiri
افواه	'afvAh
جعفریه	ja'fariyye
الوار	'alvAr
پیام‌گیر	payAmgir
مساعدت	mosA'edat
وامی	vAmi
وقتی‌که	vaqtike
خاکسترنشین	xAkestarneSin
نزاع	nezA'
همنهشتی	hamneheSti
هوش‌ربا	huSrobA
پردل	pordel
حق‌تعالی	haqta'AlA
